EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
22,QUERETARO,14,QUERETARO,9,751167.0,2655.664379239743,0.9878323031296876,0.0662503868024426,0.003540427853487,0.0242112179272493,0.6208085715327064,-4.2220456727615385,3.1692631782523857,1.1913771613432569,0.8915894191526758,1.0725542953022518,0.1153561612210515,3.6191937453889778,G1,Atípica en ICE principal
23,QUINTANA ROO,1,BENITO JUAREZ,3,605897.0,354.4393211442131,0.9897993626113322,0.0140128262630455,0.0053539308306438,0.0135990315615998,0.8241204574307294,-2.836039689778336,1.8349948402231275,0.2459639578574441,1.9960222191666936,0.5045013500563988,-0.1188396816001773,3.7712377424896406,G1,Tipica
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,33,624076.0,1018.139095543828,0.9882675030735838,0.066701763262069,0.0031925720444122,0.0246187466261889,0.6691233473733773,-3.648952158929185,1.5311022927757545,2.5741011183257867,1.4281307113344743,1.8487614912644272,0.1523315626966808,2.643055814430995,G1,Atípica en tercer ICE
25,SINALOA,6,CULIACAN,149,695202.0,185.97500486296664,0.988408908766534,0.0709007586552162,0.0024577486883495,0.024373217397306,0.4720689652475044,-6.09524239690679,-1.5723875962800635,8.882530888970132,4.099044283606907,7.612245804498452,0.4061992180951577,-0.5977981377660668,G0,Atípica en ICE principal
26,SONORA,59,CAJEME,16,317070.0,4670.5816520079015,0.9897898240727429,0.0606547177006603,0.0026589970014093,0.0224151714133466,0.7655217312203637,-2.916484087385792,1.8184499077962757,0.8341705259041818,0.6468226737981212,-0.0555115868349647,-0.0621873646486816,0.0440105345668936,G1,Tipica
27,TABASCO,4,CENTRO,47,501305.0,475.5751064053978,0.9888872154421012,0.0385285483740654,0.0012762607628685,0.0149662540061363,-0.2110089609137146,-3.7504385814926784,-0.3371372810426972,2.044256031785287,0.9779155267340012,3.268939151970512,0.1846365947881132,1.6622273238418783,G1,Atípica en tercer ICE
28,TAMAULIPAS,32,REYNOSA,11,513438.0,842.1529177661855,0.9914055605605852,-0.0062746767825346,0.0043783772004883,0.0157259507563417,0.9282613636881096,-2.905946955237345,1.1544095049558942,0.2929197811923912,2.4544146875892614,0.4207682620631979,-0.4070962005813111,2.771678594631126,G1,Tipica
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,0,3720.0,4478.230866517557,0.990817663582702,0.0598290598290598,0.001514573328287,0.0211323083297642,0.0,-1.4236752838432265,0.3979240021850886,-1.0825021811291573,-1.0314500685745838,-0.7395681288169307,0.3037464707975073,-1.186128784541315,G1,Tipica
30,VERACRUZ,192,VERACRUZ,5,457975.0,5449.345731505587,0.9903701466934596,0.0513080087414834,0.00164607823216,0.0188548566349725,-0.0304969481854637,-4.054252840816772,2.2514943180106024,-0.5265764562964164,-0.2686928352398113,0.6252325630722744,0.2204265355276482,0.9996025589245588,G1,Atípica en ICE principal
31,YUCATAN,50,MERIDA,12,701334.0,2505.786072839672,0.988765321984293,0.0698846569838129,0.0035360030037515,0.0258724303277371,0.6626666422648197,-4.03884666474955,2.8399289476918708,1.3904448480712863,0.9332322058506052,0.9607071676209488,0.231445891544019,3.271987750338577,G1,Atípica en ICE principal
32,ZACATECAS,10,FRESNILLO,103,163706.0,540.7757305143929,0.9899453694720384,0.0707016534114692,0.0034954976479769,0.025887052556451,0.9113654130841164,-2.527960913823618,-2.0632618405878254,6.059074670741003,2.900711507055838,3.6321233421062074,0.311764032247592,-2.3504070925609537,G0,Atípica en ICE principal
