EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
5,COAHUILA,27,RAMOS ARIZPE,24,69431.0,12.52822823591178,0.9832548093136247,0.1190065595435718,0.0081695034606615,0.0405419626389907,0.878988814820981,0.717042006732728,0.634267116217488,2.4241952758831533,0.2462622643362872,0.3960218834527549,0.7684286249876614,-0.0580454351213935,G0,Atípica en tercer ICE
5,COAHUILA,35,TORREON,7,504652.0,670.4259592171313,0.989129233351638,0.0538106385066916,0.0032126740394925,0.0200674409189271,0.3822759143973642,-2.662712408730519,1.3365417458852953,0.5960440065642897,0.5808712100186579,0.716077875964924,0.2387281837058784,2.951403127076787,G1,Tipica
5,COAHUILA,1,ABASOLO,0,1124.0,446.6606820255004,0.9698176602764828,0.0786948176583493,0.0093290276282741,0.0326258932698589,0.9345207145453114,2.496622365250798,1.927151746443602,0.5726338356138799,-0.1750215999488338,0.3654660896901739,-1.029699467801266,0.1938864157784625,G4,Tipica
5,COAHUILA,5,CANDELA,1,1570.0,499.63759010170327,0.9832156444851567,0.0508701472556894,0.0039570711072361,0.0153255936862095,0.968495996958186,0.762525438716272,0.3209892233907367,0.2226094550899965,0.3070436508867016,-0.9016294288613708,-0.7311917556426857,0.200064508316055,G0,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9058.0,3.8350687329570095,0.9811563477989198,0.1505144163597104,0.0062350231074704,0.0454132856956599,0.925672142294418,1.2779655298496315,0.8411825254750402,2.503063554911817,-0.8050404359526361,-0.3156546149379602,0.603957259454536,-0.0739381261360482,G0,Atípica en tercer ICE
5,COAHUILA,12,GUERRERO,3,1728.0,1.2566885924318454,0.984693374128674,0.0341113105924596,0.0017196981999062,0.0101332697108592,0.2897748533756077,0.2493208326070653,-0.6708529879469065,-0.4385308366161907,-0.254374735372267,-0.1418437710238243,-0.646879974556789,0.3532193632731458,G2,Tipica
5,COAHUILA,16,LAMADRID,0,1573.0,689.6258010699662,0.977834677260633,0.0722563053851397,0.0094264336298212,0.0244820486774216,0.932141725717404,1.7701036755211088,1.4098248467838066,0.3239381505381831,0.2529762493594963,-0.2459708765870614,-0.2614148240706972,0.0945525490280821,G4,Tipica
5,COAHUILA,26,PROGRESO,2,2777.0,681.2690310737486,0.9796113520584352,0.055893536121673,0.0078390283813122,0.0207439892901513,0.9074422740589292,1.3679845971671518,0.966949850522149,0.1878448208837444,0.4454557742284627,-0.2834210499850819,-0.4722345921085125,0.0555537020748365,G0,Tipica
5,COAHUILA,33,SAN PEDRO,41,72586.0,37.63851660512839,0.9884569131327796,0.0500231454692743,0.0032528147082773,0.0183376141719599,0.492191010377448,-0.8695005081603636,-1.2672269913794385,2.006296723436656,1.0593805085009476,1.2641454849402092,0.0726601817902143,-0.5701919285182648,G0,Tipica
5,COAHUILA,6,CASTAÐOS,12,20980.0,22.42700381757544,0.9800018309681848,0.0695350734094616,0.0104047638800795,0.0284374673054465,0.8867965203787721,1.5250704220539737,0.8626310125150602,0.9204332275921124,0.7960647724662298,0.34072038588715,0.1345182151456849,0.0282868028308235,G0,Tipica
5,COAHUILA,18,MONCLOVA,2,170909.0,249.3132654004226,0.988678755883348,0.0569380712668983,0.0038174049565806,0.0222519865347223,0.5397902847927366,-0.616472292170601,0.2703937667119451,0.1428947518219582,0.2119569181702619,-0.4050155002948306,0.1850917035686044,1.2720940840864274,G2,Tipica
